Date;Open;High;Low;Close;predict;predict_pct;entrada;saida;profit;sucesso;subida
2020-05-11;8755,53515625;9033,470703125;8374,3232421875;8601,7958984375;8721,148585374927;0,013875321891688719;;;0,0;True;
2020-05-12;8610,3857421875;8949,8984375;8569,6435546875;8804,4775390625;8615,877697009306;-0,0214209010377322;8610,3857421875;8804,4775390625;0,022541591362629232;True;True
2020-05-13;8805,3876953125;9317,87890625;8805,3876953125;9269,9873046875;8828,423203621422;-0,047633733095059916;;;0,0;True;
2020-05-14;9271,3291015625;9793,2685546875;9255,03515625;9733,7216796875;9310,445035712544;-0,04348559142165087;;;0,0;True;
2020-05-15;9734,291015625;9755,828125;9261,3984375;9328,197265625;9748,434026346413;0,045050158005342844;;;0,0;True;
2020-05-16;9333,240234375;9564,205078125;9260,6943359375;9377,013671875;9303,602102361549;-0,007828885835331478;9333,240234375;9377,013671875;0,004690057943518733;True;True
2020-05-17;9374,9296875;9823,001953125;9349,5458984375;9670,7392578125;9370,153952253535;-0,031081936710902203;;;0,0;True;
2020-05-18;9675,6953125;9906,0302734375;9570,359375;9726,5751953125;9675,4562298511;-0,005255597621456332;;;0,0;True;
2020-05-19;9727,0634765625;9836,0478515625;9539,6240234375;9729,0380859375;9741,378165969694;0,001268376166604801;;;0,0;True;
2020-05-20;9725,3291015625;9804,7939453125;9447,201171875;9522,9814453125;9727,73803157397;0,021501311058655714;;;0,0;True;
2020-05-21;9522,740234375;9555,2421875;8869,9306640625;9081,76171875;9512,033047949371;0,047377517988722806;9522,740234375;9081,76171875;-0,046307943383057326;False;False
2020-05-22;9080,3349609375;9232,9365234375;9008,638671875;9182,5771484375;9073,496865727511;-0,011879048871214715;9080,3349609375;9182,5771484375;0,01125973743698161;True;True
2020-05-23;9185,0625;9302,501953125;9118,1083984375;9209,287109375;9198,173499460281;-0,0012067828685029536;;;0,0;True;
2020-05-24;9212,283203125;9288,404296875;8787,2509765625;8790,3681640625;9223,434285834446;0,04926598223069223;;;0,0;True;
2020-05-25;8786,107421875;8951,005859375;8719,66796875;8906,9345703125;8792,149573429771;-0,012887149442560863;8786,107421875;8906,9345703125;0,013752068195373335;True;True
2020-05-26;8909,5859375;8991,9677734375;8757,2939453125;8835,052734375;8915,93263038759;0,00915443274015848;;;0,0;True;
